Index,   Money,    Monthly Pay,    Interest,    Credit,
1      8000,00      673,91        13,33       660,58
2      7339,42      673,91        12,23       661,68
3      6677,74      673,91        11,13       662,78
4      6014,96      673,91        10,02       663,89
5      5351,08      673,91        8,92       664,99
6      4686,08      673,91        7,81       666,10
7      4019,98      673,91        6,70       667,21
8      3352,77      673,91        5,59       668,32
9      2684,45      673,91        4,47       669,44
10      2015,01      673,91        3,36       670,55
11      1344,46      673,91        2,24       671,67
12      672,79      673,91        1,12       672,79
